Room / Area,Device Name,Record ID,App Type,Device Type,Device Status (Boolean),Channel ID,Tunable Channel ID,Device ID,Is Dimmable (Boolean),Is Tunable (Boolean),Is Fan (Boolean),Is Alexa Enabled (Boolean),IP Address,Port
"LIVING","COB 1",485,"L","RL",FALSE,"1","101","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","MAIN CURTAIN",497,"C","RL",FALSE,"None","","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","SHEER CURTAIN",498,"C","RL",FALSE,"None","","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","AC",506,"AC","IR",FALSE,"","","196",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 9",513,"L","RL",FALSE,"20","120","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 10",514,"L","RL",FALSE,"32","132","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 11",515,"L","RL",FALSE,"21","121","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 2",486,"L","RL",FALSE,"3","103","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 3",487,"L","RL",FALSE,"30","130","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 4",488,"L","RL",FALSE,"22","122","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 5",489,"L","RL",FALSE,"16","116","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 6",490,"L","RL",FALSE,"13","113","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 7",504,"L","RL",FALSE,"34","134","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","COB 8",505,"L","RL",FALSE,"35","135","19",TRUE,FALSE,FALSE,FALSE,"",""
"LIVING","OUTSIDE LIGHT",491,"L","RL",FALSE,"1","101","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","NICHE LIGHT",492,"L","RL",FALSE,"6","106","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","CURTAIN ROPE",493,"L","RL",FALSE,"10","110","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","HANGING",494,"L","RL",FALSE,"16","116","61",FALSE,FALSE,FALSE,FALSE,"",""
"LIVING","SPOT LIGHT",495,"L","RL",FALSE,"18","118","61",FALSE,FALSE,FALSE,FALSE,"",""
"DINING","COB 1",499,"L","RL",FALSE,"12","112","19",TRUE,FALSE,FALSE,FALSE,"",""
"DINING","COB 2",500,"L","RL",FALSE,"27","127","19",TRUE,FALSE,FALSE,FALSE,"",""
"DINING","COB 3",501,"L","RL",FALSE,"26","126","19",TRUE,FALSE,FALSE,FALSE,"",""
"DINING","COB 4",502,"L","RL",FALSE,"36","136","19",TRUE,FALSE,FALSE,FALSE,"",""
"DINING","HANGING",503,"L","RL",FALSE,"8","108","61",FALSE,FALSE,FALSE,FALSE,"",""
"DINING","AC",507,"AC","IR",FALSE,"","","197",FALSE,FALSE,FALSE,FALSE,"",""
"Parent Room","FAN",430,"L","RL",FALSE,"15","115","61",FALSE,FALSE,FALSE,FALSE,"",""
